"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []"
28,0,-180,2.16834696548127
28,0,-178,0.380238798236864
28,0,-176,-5.32434532611439
28,0,-174,-14.2646073608832
28,0,-172,-6.63356780281716
28,0,-170,-0.694887344144071
28,0,-168,0.744256579280011
28,0,-166,-1.75917127326076
28,0,-164,-5.35146047368722
28,0,-162,-2.85550097370474
28,0,-160,-2.14608471903033
28,0,-158,-3.99610289109072
28,0,-156,-5.64050994220553
28,0,-154,-5.11247552360147
28,0,-152,-3.81077427194902
28,0,-150,-2.43376152638702
28,0,-148,-1.40387216054127
28,0,-146,-0.919599666707935
28,0,-144,-1.07012112128573
28,0,-142,-2.15132706570432
28,0,-140,-4.7631953042545
28,0,-138,-10.0777971660196
28,0,-136,-17.3072886879573
28,0,-134,-11.9479430878942
28,0,-132,-9.13249547223261
28,0,-130,-8.79672435207228
28,0,-128,-9.89751331893426
28,0,-126,-12.1815303288157
28,0,-124,-16.1972114912947
28,0,-122,-23.4795097456618
28,0,-120,-21.7338866856268
28,0,-118,-16.9229859039051
28,0,-116,-15.8629160664845
28,0,-114,-17.9652854831032
28,0,-112,-25.8505885914669
28,0,-110,-27.8888893970394
28,0,-108,-18.3225181915281
28,0,-106,-15.2102183444414
28,0,-104,-14.3843034116341
28,0,-102,-14.9355475930124
28,0,-100,-16.1932336223516
28,0,-98,-16.9484056372939
28,0,-96,-16.3739546486858
28,0,-94,-15.5369476490666
28,0,-92,-15.5724894046442
28,0,-90,-16.9260487201015
28,0,-88,-19.5157338381756
28,0,-86,-22.0644358789456
28,0,-84,-22.8230952407184
28,0,-82,-19.3651685739687
28,0,-80,-13.3478144838282
28,0,-78,-8.86532174279489
28,0,-76,-6.2800698931786
28,0,-74,-5.38501673704389
28,0,-72,-5.79868115244856
28,0,-70,-6.10861129941398
28,0,-68,-4.64488008132141
28,0,-66,-2.89931437921241
28,0,-64,-2.36410090587507
28,0,-62,-3.28095088084855
28,0,-60,-5.2469399517806
28,0,-58,-7.05899458012254
28,0,-56,-7.82987528207451
28,0,-54,-7.98791209239538
28,0,-52,-8.08921612414245
28,0,-50,-9.9498897603971
