"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTheta) []"
27,90,-180,4.14902451388851
27,90,-178,2.81945362901214
27,90,-176,-1.00457496519442
27,90,-174,-4.09487755708322
27,90,-172,-4.16976530400051
27,90,-170,-5.53499775235831
27,90,-168,-7.56928629850977
27,90,-166,-7.86054682525096
27,90,-164,-7.92919316360044
27,90,-162,-9.41785383640451
27,90,-160,-8.90223703760676
27,90,-158,-5.70468465683362
27,90,-156,-4.38920309381612
27,90,-154,-5.31068176119105
27,90,-152,-7.89744953545283
27,90,-150,-10.3993701037114
27,90,-148,-7.95699906187172
27,90,-146,-4.6742946535051
27,90,-144,-3.97331187404331
27,90,-142,-6.79878092552671
27,90,-140,-18.3218910307122
27,90,-138,-12.5323656644742
27,90,-136,-7.45290378630082
27,90,-134,-7.92886067380874
27,90,-132,-12.1155620515761
27,90,-130,-15.377862753583
27,90,-128,-13.6707709916056
27,90,-126,-14.9378224172763
27,90,-124,-17.0535530686304
27,90,-122,-14.0286320215632
27,90,-120,-12.3375664309857
27,90,-118,-13.5564458796724
27,90,-116,-17.3133835679552
27,90,-114,-18.3312326170169
27,90,-112,-14.4865412750557
27,90,-110,-11.8106200295439
27,90,-108,-10.4161339390802
27,90,-106,-9.89794254069293
27,90,-104,-9.87657201014678
27,90,-102,-10.0033764085112
27,90,-100,-10.3531321883187
27,90,-98,-11.21223303787
27,90,-96,-11.4168479134739
27,90,-94,-8.83689994237338
27,90,-92,-5.67038633305304
27,90,-90,-3.69495261465291
27,90,-88,-3.18525014864667
27,90,-86,-4.21905433863544
27,90,-84,-6.57176514844765
27,90,-82,-7.21561461409996
27,90,-80,-4.08232666256685
27,90,-78,-1.27935692023277
27,90,-76,0.285099612210298
27,90,-74,0.89496880299971
27,90,-72,0.918757963973824
27,90,-70,0.769969286013343
27,90,-68,0.822780855736686
27,90,-66,1.08110764599735
27,90,-64,1.06865981383026
27,90,-62,0.196920918037801
27,90,-60,-1.8704950030489
27,90,-58,-4.34358290398038
27,90,-56,-4.75542970199962
27,90,-54,-4.68394241663454
27,90,-52,-7.41708451869678
27,90,-50,-17.7657606421547
27,90,-48,-11.4960391252636
27,90,-46,-6.24910842846192
27,90,-44,-4.16696533717319
27,90,-42,-1.67501417990509
27,90,-40,0.4308207132397
27,90,-38,0.747908061992723
27,90,-36,-0.509645320296811
27,90,-34,-0.746727915617925
27,90,-32,0.723882803289494
27,90,-30,1.10122307830021
27,90,-28,-0.548636505412555
27,90,-26,-5.53068614878279
27,90,-24,-8.16136128785008
27,90,-22,-0.354445305148471
27,90,-20,1.4499279735694
27,90,-18,-0.254005601028879
27,90,-16,3.6433876538991
27,90,-14,7.32514365578985
27,90,-12,6.75923647609537
27,90,-10,0.631996611434787
27,90,-8,-3.72515462321472
27,90,-6,-3.27498250622021
27,90,-4,-2.44081979894369
27,90,-2,7.83300160447515
27,90,0,10.3204035127851
27,90,2,7.8737134639275
27,90,4,-2.67809763431585
27,90,6,-3.79711437753586
27,90,8,-4.65746570166454
27,90,10,0.105634645129026
27,90,12,6.84205695136231
27,90,14,7.5928772495453
27,90,16,4.02488704241417
27,90,18,-0.387398896303603
27,90,20,1.17911136214486
27,90,22,-0.716858553043148
27,90,24,-8.93895993089351
27,90,26,-4.60028784355158
27,90,28,-0.326491243933432
27,90,30,0.922994148438704
27,90,32,0.662955039689959
27,90,34,-0.148740386461344
27,90,36,0.289782760515605
27,90,38,1.21017455923092
27,90,40,0.782422387570609
27,90,42,-1.14691036467284
27,90,44,-3.34102007657434
27,90,46,-5.39484630590886
27,90,48,-10.4459171575837
27,90,50,-14.2822301766394
27,90,52,-6.04740469509455
27,90,54,-3.34231751905064
27,90,56,-3.0563610749135
27,90,58,-2.44922752037564
27,90,60,-0.399265646236276
27,90,62,1.2953224143445
27,90,64,1.92053100969651
27,90,66,1.78405623859874
27,90,68,1.53883797692274
27,90,70,1.61342877569712
