,dims,Operating Frequency,s11 left,s11,s11 right
0,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.38908177835056, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.80882145326921,-9.60638173994769,-8.47396570693302
1,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.323608344347375, 10.0)",28.5,-8.85020668553566,-9.51001487850686,-8.28438436375211
2,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.27962292937647, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-9.00258911505223,-9.6046619820964,-8.30087473521425
3,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.92231027975875,-9.59047813930266,-8.3447939117177
4,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.30136567204116, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.94657725103781,-9.54511267612794,-8.2673535027128
5,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324500684155684, 10.0)",28.5,-8.94489402946552,-9.57396246960262,-8.31052350914012
6,"(0.346626629830286, 0.894661380361795, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.72676691689293,-9.26031092892598,-8.00240984970985
7,"(0.343581601031675, 0.902182223043676, 0.3, 10.0, 2.3902198131557, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.4,-8.41856199809136,-9.63641896056617,-8.95536184737434
8,"(0.343581601031675, 0.894661380361795, 0.3, 10.0, 2.39135784796084, 1.29049430070882, 10.0, 10.0, 2.89833384122367, 0.324054514251529, 10.0)",28.5,-8.85974951202286,-9.45003053051035,-8.18981458800907
9,"(0.343581596537632, 0.8961719005463, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-9.20010555288399,-10.2797704293267,-9.15394138827854
10,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.28031136130413, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-9.01684277039854,-10.1443788051322,-9.13234569343239
11,"(0.343581596537632, 0.901112050371504, 0.3, 10.0, 2.39867476472781, 1.29028796404097, 10.0, 10.0, 2.89947235955676, 0.339743852045351, 10.0)",28.4,-8.90788058146948,-10.0753035888831,-9.14071565846261
