"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
28,0,-180,2.16962357895381
28,0,-178,0.390484839897232
28,0,-176,-5.27405233387273
28,0,-174,-14.0714905536756
28,0,-172,-6.6177573718524
28,0,-170,-0.693157777870547
28,0,-168,0.745741499645482
28,0,-166,-1.74999917265452
28,0,-164,-5.33000555258487
28,0,-162,-2.8506104685908
28,0,-160,-2.14233245403071
28,0,-158,-3.98491345665584
28,0,-156,-5.62232433626318
28,0,-154,-5.09630601598192
28,0,-152,-3.78820439901099
28,0,-150,-2.40122704475204
28,0,-148,-1.37223502328765
28,0,-146,-0.900225358349782
28,0,-144,-1.0605360500518
28,0,-142,-2.13516363326459
28,0,-140,-4.71831830621842
28,0,-138,-9.96458396704449
28,0,-136,-17.153974828471
28,0,-134,-11.9238780327916
28,0,-132,-9.05869542823896
28,0,-130,-8.66946518390584
28,0,-128,-9.73444581084023
28,0,-126,-12.019456518482
28,0,-124,-16.0430965714197
28,0,-122,-22.953901398029
28,0,-120,-21.1713050652727
28,0,-118,-16.6707913623889
28,0,-116,-15.6755014220184
28,0,-114,-17.7486795005093
28,0,-112,-24.5304018408175
28,0,-110,-24.1901418590359
28,0,-108,-17.2312105242419
28,0,-106,-14.4770471260207
28,0,-104,-13.8086190908122
28,0,-102,-14.4908211758863
28,0,-100,-15.876580274415
28,0,-98,-16.6378854760439
28,0,-96,-15.8785115571996
28,0,-94,-14.8376522504552
28,0,-92,-14.6541710129777
28,0,-90,-15.6425101445123
28,0,-88,-17.4842791816396
28,0,-86,-18.8316669520292
28,0,-84,-18.6349103978514
28,0,-82,-16.4872457527583
28,0,-80,-12.3110099838214
28,0,-78,-8.45946196394981
28,0,-76,-6.03622386378339
28,0,-74,-5.12400336575841
28,0,-72,-5.39401207549471
28,0,-70,-5.55916923735166
28,0,-68,-4.2158363383484
28,0,-66,-2.63349157708813
28,0,-64,-2.17869041587872
28,0,-62,-3.12115032596475
28,0,-60,-5.06959197203664
28,0,-58,-6.82461478708471
28,0,-56,-7.57699475261227
28,0,-54,-7.82719524172819
28,0,-52,-8.02845051902211
28,0,-50,-9.78509898180593
28,0,-48,-16.7350639665842
28,0,-46,-10.2070699235234
28,0,-44,-3.92495604495016
28,0,-42,-1.96287821464763
28,0,-40,-2.50695466641425
28,0,-38,-2.87406581916184
28,0,-36,-1.05459711261546
28,0,-34,-0.0308534681072954
28,0,-32,-1.05145915028925
28,0,-30,-3.58818034104906
28,0,-28,-5.97614295165513
28,0,-26,-8.07324783840883
28,0,-24,-6.45770706786324
28,0,-22,-2.93138107500979
28,0,-20,-3.50163048321567
28,0,-18,-2.77703949266199
28,0,-16,4.53334866531702
28,0,-14,7.77062357653067
28,0,-12,7.26020374240387
28,0,-10,4.33185733089748
28,0,-8,4.18977779004177
28,0,-6,1.7963654883058
28,0,-4,-6.7937872364603
28,0,-2,7.92428604585186
28,0,0,10.6441011033532
28,0,2,7.8234757867599
28,0,4,-7.78039916468774
28,0,6,2.00117151517087
28,0,8,4.17978777719124
28,0,10,4.19797955197681
28,0,12,7.23226196073216
28,0,14,7.77010209684519
28,0,16,4.52661683295788
28,0,18,-2.67314352556341
28,0,20,-3.35840222098603
28,0,22,-2.98993464333997
28,0,24,-6.73811049126118
28,0,26,-8.10752228607892
28,0,28,-5.83222966622055
