"Freq [GHz]","Phi [deg]","Theta [deg]","db(GainPhi) []"
27,0,-180,-8.73258832740087
27,0,-178,-8.70883903563669
27,0,-176,-8.79708855616468
27,0,-174,-9.01698107906834
27,0,-172,-9.39392496945165
27,0,-170,-9.95504521716822
27,0,-168,-10.7202986519484
27,0,-166,-11.6816059788272
27,0,-164,-12.7552169420184
27,0,-162,-13.7019665372288
27,0,-160,-14.1231571055517
27,0,-158,-13.7759366533452
27,0,-156,-12.8979771766256
27,0,-154,-11.9286753816651
27,0,-152,-11.1639233183854
27,0,-150,-10.7392009631961
27,0,-148,-10.7089437542307
27,0,-146,-11.0939489248853
27,0,-144,-11.894829514168
27,0,-142,-13.0808811112542
27,0,-140,-14.5527460155267
27,0,-138,-16.0864183204081
27,0,-136,-17.3454746317326
27,0,-134,-18.1057302475765
27,0,-132,-18.4690902510741
27,0,-130,-18.6710401049731
27,0,-128,-18.8101828380161
27,0,-126,-18.8449960301851
27,0,-124,-18.7461411613815
27,0,-122,-18.5984371593664
27,0,-120,-18.5525372848228
27,0,-118,-18.7153972155375
27,0,-116,-19.0674584876898
27,0,-114,-19.3905854529159
27,0,-112,-19.2706521277588
27,0,-110,-18.415188742422
27,0,-108,-17.0123127193018
27,0,-106,-15.4723370463105
27,0,-104,-14.0641771411843
27,0,-102,-12.8901043608193
27,0,-100,-11.9678313992386
27,0,-98,-11.2814784731253
27,0,-96,-10.8001199563886
27,0,-94,-10.4797793359403
27,0,-92,-10.2586058116625
27,0,-90,-10.053865483962
27,0,-88,-9.77278077454719
27,0,-86,-9.34528644633739
27,0,-84,-8.76219091565499
27,0,-82,-8.08138680535356
27,0,-80,-7.39305364344933
27,0,-78,-6.77686254351926
27,0,-76,-6.2777748640056
27,0,-74,-5.89905746412091
27,0,-72,-5.60335564589866
27,0,-70,-5.32135029494946
27,0,-68,-4.9754693873503
27,0,-66,-4.51835092836791
27,0,-64,-3.96195018106284
27,0,-62,-3.36963474007448
27,0,-60,-2.81968678241641
27,0,-58,-2.37208667915862
27,0,-56,-2.05339929728885
27,0,-54,-1.85454238018118
27,0,-52,-1.7346755800704
27,0,-50,-1.63144669889871
27,0,-48,-1.48115759188444
27,0,-46,-1.24523464898523
27,0,-44,-0.926809331036033
27,0,-42,-0.563531545515782
27,0,-40,-0.203677084440833
27,0,-38,0.115626984249544
27,0,-36,0.37825213413312
27,0,-34,0.588712366359745
27,0,-32,0.766150932909046
